CATIMA dE/dx table for genfit  (A=3 Z=1 in matA=2)
density 6.61e-05 g/cm3 = 0.0661 mg/cm3
Energy Unit  dEdx_elec  dEdx_nucl  Range Unit  lonStra Unit  latStra Unit
1.43596 MeV 0.598327 0 241.094 mm 1.91665 mm 0 mm
1.45696 MeV 0.591675 0 246.408 mm 1.96124 mm 0 mm
1.47828 MeV 0.585091 0 251.861 mm 2.00701 mm 0 mm
1.4999 MeV 0.578577 0 257.455 mm 2.05398 mm 0 mm
1.52185 MeV 0.572133 0 263.195 mm 2.10218 mm 0 mm
1.54411 MeV 0.565755 0 269.085 mm 2.15164 mm 0 mm
1.5667 MeV 0.559448 0 275.129 mm 2.20239 mm 0 mm
1.58962 MeV 0.553207 0 281.33 mm 2.25446 mm 0 mm
1.61288 MeV 0.547036 0 287.692 mm 2.30788 mm 0 mm
1.63647 MeV 0.540932 0 294.221 mm 2.36269 mm 0 mm
1.66041 MeV 0.534893 0 300.92 mm 2.4189 mm 0 mm
1.6847 MeV 0.528923 0 307.793 mm 2.47657 mm 0 mm
1.70935 MeV 0.523019 0 314.846 mm 2.53571 mm 0 mm
1.73436 MeV 0.517179 0 322.083 mm 2.59638 mm 0 mm
1.75973 MeV 0.511406 0 329.508 mm 2.65859 mm 0 mm
1.78547 MeV 0.505696 0 337.127 mm 2.72239 mm 0 mm
1.81159 MeV 0.500052 0 344.945 mm 2.78782 mm 0 mm
1.83809 MeV 0.494471 0 352.967 mm 2.85491 mm 0 mm
