   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   135.000 MeV  2.0961E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   136.000 MeV  2.0838E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   137.000 MeV  2.0717E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   138.000 MeV  2.0598E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   139.000 MeV  2.0480E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   140.000 MeV  2.0364E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   141.000 MeV  2.0249E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   142.000 MeV  2.0136E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   143.000 MeV  2.0024E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   144.000 MeV  1.9914E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   145.000 MeV  1.9805E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   146.000 MeV  1.9698E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   147.000 MeV  1.9592E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   148.000 MeV  1.9488E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   149.000 MeV  1.9384E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   150.000 MeV  1.9282E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   151.000 MeV  1.9182E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   152.000 MeV  1.9082E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   153.000 MeV  1.8984E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   154.000 MeV  1.8887E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   155.000 MeV  1.8791E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   156.000 MeV  1.8697E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   157.000 MeV  1.8603E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   158.000 MeV  1.8511E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   159.000 MeV  1.8419E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   160.000 MeV  1.8329E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   161.000 MeV  1.8240E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   162.000 MeV  1.8152E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   163.000 MeV  1.8065E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   164.000 MeV  1.7979E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   165.000 MeV  1.7894E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   166.000 MeV  1.7810E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   167.000 MeV  1.7727E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   168.000 MeV  1.7644E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   169.000 MeV  1.7563E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   170.000 MeV  1.7483E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   171.000 MeV  1.7403E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   172.000 MeV  1.7325E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   173.000 MeV  1.7247E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   174.000 MeV  1.7170E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   175.000 MeV  1.7094E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   176.000 MeV  1.7019E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   177.000 MeV  1.6944E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   178.000 MeV  1.6871E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   179.000 MeV  1.6798E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   180.000 MeV  1.6726E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   181.000 MeV  1.6654E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   182.000 MeV  1.6584E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   183.000 MeV  1.6514E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   184.000 MeV  1.6445E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   185.000 MeV  1.6376E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   186.000 MeV  1.6309E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   187.000 MeV  1.6242E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   188.000 MeV  1.6175E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   189.000 MeV  1.6110E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   190.000 MeV  1.6045E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   191.000 MeV  1.5980E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   192.000 MeV  1.5916E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   193.000 MeV  1.5853E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   194.000 MeV  1.5791E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   195.000 MeV  1.5729E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   196.000 MeV  1.5668E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   197.000 MeV  1.5607E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   198.000 MeV  1.5547E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   199.000 MeV  1.5487E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   200.000 MeV  1.5428E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   201.000 MeV  1.5370E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   202.000 MeV  1.5312E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   203.000 MeV  1.5255E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   204.000 MeV  1.5198E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   205.000 MeV  1.5142E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
