   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   170.000 MeV  3.8295E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   171.000 MeV  3.8107E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   172.000 MeV  3.7920E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   173.000 MeV  3.7736E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   174.000 MeV  3.7554E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   175.000 MeV  3.7374E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   176.000 MeV  3.7197E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   177.000 MeV  3.7021E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   178.000 MeV  3.6847E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   179.000 MeV  3.6676E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   180.000 MeV  3.6505E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   181.000 MeV  3.6337E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   182.000 MeV  3.6171E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   183.000 MeV  3.6006E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   184.000 MeV  3.5843E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   185.000 MeV  3.5682E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   186.000 MeV  3.5522E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   187.000 MeV  3.5364E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   188.000 MeV  3.5207E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   189.000 MeV  3.5052E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   190.000 MeV  3.4898E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   191.000 MeV  3.4746E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   192.000 MeV  3.4596E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   193.000 MeV  3.4447E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   194.000 MeV  3.4299E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   195.000 MeV  3.4153E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   196.000 MeV  3.4008E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   197.000 MeV  3.3864E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   198.000 MeV  3.3722E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   199.000 MeV  3.3581E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   200.000 MeV  3.3442E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   201.000 MeV  3.3304E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   202.000 MeV  3.3167E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   203.000 MeV  3.3031E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   204.000 MeV  3.2896E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   205.000 MeV  3.2763E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   206.000 MeV  3.2631E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
