   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   155.000 MeV  2.5967E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   156.000 MeV  2.5831E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   157.000 MeV  2.5697E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   158.000 MeV  2.5565E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   159.000 MeV  2.5435E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   160.000 MeV  2.5305E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   161.000 MeV  2.5178E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   162.000 MeV  2.5052E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   163.000 MeV  2.4927E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   164.000 MeV  2.4804E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   165.000 MeV  2.4682E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   166.000 MeV  2.4561E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   167.000 MeV  2.4442E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   168.000 MeV  2.4325E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   169.000 MeV  2.4208E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   170.000 MeV  2.4093E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   171.000 MeV  2.3979E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   172.000 MeV  2.3866E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   173.000 MeV  2.3755E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   174.000 MeV  2.3645E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   175.000 MeV  2.3536E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   176.000 MeV  2.3428E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   177.000 MeV  2.3321E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   178.000 MeV  2.3216E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   179.000 MeV  2.3111E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   180.000 MeV  2.3008E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   181.000 MeV  2.2905E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   182.000 MeV  2.2804E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   183.000 MeV  2.2704E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   184.000 MeV  2.2605E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   185.000 MeV  2.2507E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   186.000 MeV  2.2410E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   187.000 MeV  2.2313E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   188.000 MeV  2.2218E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   189.000 MeV  2.2124E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   190.000 MeV  2.2031E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   191.000 MeV  2.1938E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   192.000 MeV  2.1847E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   193.000 MeV  2.1756E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   194.000 MeV  2.1666E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   195.000 MeV  2.1578E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   196.000 MeV  2.1490E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   197.000 MeV  2.1402E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   198.000 MeV  2.1316E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   199.000 MeV  2.1231E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   200.000 MeV  2.1146E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   201.000 MeV  2.1062E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   202.000 MeV  2.0979E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   203.000 MeV  2.0897E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   204.000 MeV  2.0815E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   205.000 MeV  2.0734E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   206.000 MeV  2.0654E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   207.000 MeV  2.0575E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   208.000 MeV  2.0496E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   209.000 MeV  2.0418E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   210.000 MeV  2.0341E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   211.000 MeV  2.0264E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   212.000 MeV  2.0189E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   213.000 MeV  2.0113E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   214.000 MeV  2.0039E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   215.000 MeV  1.9965E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   216.000 MeV  1.9892E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   217.000 MeV  1.9819E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   218.000 MeV  1.9747E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   219.000 MeV  1.9676E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   220.000 MeV  1.9605E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   221.000 MeV  1.9535E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   222.000 MeV  1.9466E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   223.000 MeV  1.9397E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   224.000 MeV  1.9329E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   225.000 MeV  1.9261E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   226.000 MeV  1.9194E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
