   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   231.000 MeV  8.5771E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   232.000 MeV  8.5538E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   233.000 MeV  8.5308E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   234.000 MeV  8.5080E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   235.000 MeV  8.4853E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   236.000 MeV  8.4629E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   237.000 MeV  8.4406E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   238.000 MeV  8.4185E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   239.000 MeV  8.3966E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   240.000 MeV  8.3748E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   241.000 MeV  8.3533E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   242.000 MeV  8.3319E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   243.000 MeV  8.3107E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   244.000 MeV  8.2897E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   245.000 MeV  8.2688E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   246.000 MeV  8.2481E-03  0.0000E+00     1.000 mm     0.00 um     0.00 um  
