eid,x,y,z,q
5,-83.44,39.7067,837.445,329.276
5,-88.3482,31.2053,835.251,1193.73
5,-46.6282,24.0532,833.229,1280.29
5,-90.8024,32.5545,831.904,133.194
5,-29.4494,19.8025,826.364,3599.06
5,269.953,-2.86764,824.733,86.3442
5,265.045,-5.83687,823.64,78.7311
5,260.136,-2.86764,819.415,51.0292
5,-26.9953,18.4534,813.739,3445.19
5,255.228,-5.83687,811.459,77.1989
5,-73.6235,22.704,810.005,440.058
5,-49.0824,22.704,809.961,124.657
5,-61.353,26.9547,810.729,285.161
5,-73.6235,28.3038,810.209,879.087
5,-68.7153,36.8052,810.002,281.606
5,-71.1694,32.5545,808.913,409.746
5,-24.5412,14.2027,808.198,136.783
5,-12.2706,24.0532,806.526,212.118
5,-26.9953,15.5519,805.712,672.689
5,245.412,-11.369,802.5,61.5604
5,-12.2706,18.4534,803.332,49.6212
5,-29.4494,22.704,797.758,1109.35
5,-24.5412,19.8025,794.837,3880.17
5,-53.9906,19.8025,792.926,737.205
5,-12.2706,9.95207,792.815,179.179
5,-14.7247,14.2027,793.459,115.701
5,-56.4447,24.0532,793.062,1052.89
5,-7.36236,7.05056,792.386,303.765
5,-4.90825,2.7999,792.053,154.218
5,-26.9953,24.0532,788.968,740.549
5,-24.5412,22.704,787.4,2712.41
5,230.687,-14.3382,786.546,66.2231
5,220.871,-19.8703,777.132,71.2688
5,-39.2659,22.704,773.695,157.317
5,-17.1788,7.05056,773.238,163.862
5,-19.6329,5.70141,773.954,1004.67
5,-22.0871,15.5519,773.626,284.524
5,-66.2612,26.9547,773.073,98.7064
5,-22.0871,18.4534,773.494,1743.2
5,-63.8071,31.2053,772.759,205.955
5,-19.6329,14.2027,773.202,627.445
5,-66.2612,24.0532,773.766,1270.22
5,-19.6329,11.3012,772.492,196.488
5,215.962,-22.8395,770.428,101.36
5,211.054,-19.8703,767.414,125.847
5,206.146,-22.8395,758.193,56.8999
5,-22.0871,24.0532,757.211,2425.64
5,-19.6329,19.8025,757.376,2860.11
5,-73.6235,36.8052,755.551,265.438
5,201.238,-19.8703,754.79,49.6016
5,-19.6329,22.704,754.911,2385.41
5,-83.44,28.3038,754.923,197.71
5,196.329,-22.8395,749.681,105.958
5,186.513,-28.3716,739.61,63.9087
5,186.513,-22.8395,738.237,62.1291
5,-78.5318,28.3038,734.712,236.705
5,-31.9035,9.95207,735.173,71.2228
5,-51.5365,18.4534,734.435,235.436
5,-76.0777,35.456,733.352,859.741
5,-56.4447,18.4534,731.31,99.8124
5,-9.81648,11.3012,732.569,637.044
5,-12.2706,15.5519,732.561,653.87
5,-2.45413,1.45075,731.748,177.185
5,-56.4447,32.5545,731.456,100.014
5,176.697,-28.3716,728.001,67.4052
5,-17.1788,24.0532,728.376,3142.5
5,-17.1788,18.4534,724.992,2229.31
5,-14.7247,22.704,722.499,2367.86
5,166.88,-28.3716,718.898,94.4276
5,-17.1788,26.9547,716.374,169.435
5,-14.7247,19.8025,717.964,2580.22
5,-66.2612,75.0611,713.494,226.603
5,-61.3529,75.0611,711.685,86.0862
5,-58.8988,73.7119,712.459,119.683
5,157.064,-28.3716,707.577,87.9031
5,-49.0824,19.8025,700.191,155.601
5,-22.0871,41.0558,700.642,121.003
5,-76.0777,100.565,698.377,171.457
5,-56.4447,75.0611,698.983,773.029
5,-83.44,90.7145,699.224,309.51
5,-80.9859,86.4639,698.315,195.971
5,-78.5318,99.2159,698.913,719.039
5,-39.2659,56.7093,699.599,131.844
5,147.247,-28.3716,697.326,72.6573
5,-12.2706,24.0532,694.739,2788.63
5,142.339,-31.3408,692.923,59.2912
5,139.885,-26.9547,691.446,194.779
5,137.431,-28.3038,689.898,109.543
5,-9.81648,22.704,686.171,3294.56
5,134.976,-26.9547,684.676,113.508
5,130.068,-26.9547,682.42,127.766
5,-9.81648,45.3065,679.529,355.765
5,-12.2706,18.4534,679.649,1453.63
5,-1.14441e-05,45.3065,678.628,120.428
5,-12.2706,26.9547,678.906,576.358
5,-7.36237,32.5545,677.51,104.38
5,-9.81648,19.8025,676.763,2784.5
5,125.16,-26.9547,674.786,142.285
5,-12.2706,32.5545,673.579,219.233
5,122.706,-22.704,672.95,93.0245
5,120.252,-26.9547,672.146,150.188
5,120.252,-24.0532,669.162,151.459
5,117.798,-28.3038,668.595,84.96
5,115.344,-24.0532,665.173,131.894
5,-7.36236,24.0532,662.539,2655.97
5,-1.33514e-05,11.3012,660.756,241.732
5,110.435,-24.0532,661.497,130.683
5,-4.90825,62.3091,660.439,269.107
5,-9.81648,28.3038,660.937,715.28
5,-7.36236,60.9599,659.96,199.47
5,-1.14441e-05,62.3091,659.141,121.191
5,107.981,-22.704,658.256,144.818
5,105.527,-24.0532,656.075,96.8826
5,103.073,-22.704,652.066,88.5154
5,-4.90825,22.704,649.531,2573.05
5,98.1647,-22.704,645.984,271.706
5,95.7106,-24.0532,646.024,133.791
5,98.1647,-19.8025,646.863,181.228
5,95.7106,-18.4534,645.784,110.597
5,-9.81648,73.7119,644.074,136.985
5,-14.7247,56.7093,644.482,121.435
5,93.2565,-19.8025,643.725,126.357
5,-12.2706,92.0637,644.119,116.543
5,-7.62939e-06,87.813,644.121,389.312
5,-9.81648,82.2132,644.165,120.86
5,-7.36236,26.9547,643.058,545.205
5,-4.90825,36.8052,643.478,156.997
5,88.3483,-19.8025,636.904,96.7866
5,90.8024,-18.4534,637.993,136.562
5,88.3483,-14.2027,633.715,50.8051
5,85.8941,-18.4534,632.377,157.073
5,83.44,-19.8025,631.079,108.977
5,-2.45413,26.9547,632.143,115.943
5,-4.90825,28.3038,630.182,398.664
5,80.9859,-18.4534,627.981,80.5254
5,-7.36236,75.0611,628.58,197.481
5,-4.90825,19.8025,628.552,371.624
5,-14.7247,31.2053,628.139,128.887
5,80.9859,-15.5519,626.873,114.447
5,78.5318,-14.2027,626.146,122.581
5,76.0776,-15.5519,625.059,149.791
5,76.0776,-18.4534,625.22,189.356
5,73.6235,-14.2027,620.323,110.673
5,-2.45413,24.0532,621.379,2613.34
5,71.1694,-15.5519,617.618,125.361
5,68.7153,-11.3012,613.66,86.2104
5,68.7153,-14.2027,614.171,197.052
5,63.8071,-11.3012,608.21,108.233
5,61.3529,-9.95207,605.988,124.178
5,-4.90824,70.8104,606.944,97.8036
5,58.8988,-11.3012,603.671,87.5864
5,56.4447,-9.95207,602.059,91.4434
5,-1.33514e-05,22.704,602.853,1837.23
5,44.1741,-5.70141,588.144,99.8131
5,-1.33514e-05,5.70141,588.373,85.3469
5,44.1741,-2.7999,586.885,97.6078
5,46.6282,-1.45075,587.013,73.4269
5,-1.33514e-05,31.2053,587.207,89.5627
5,39.2659,-2.7999,582.425,68.7321
5,2.4541,24.0532,581.192,1402.7
5,26.9953,7.05056,565.331,78.6325
5,14.7247,19.8025,560.538,86.4185
5,4.90825,22.704,559.179,1076.18
5,12.2706,18.4534,557.59,158.467
5,9.81648,19.8025,520.482,355.356
5,7.36237,24.0532,486.505,494.653
5,9.81648,22.704,478.861,800.592
5,17.1788,15.5519,420.791,58.4385
