psa,event,x,y,z,pad
max,2,-36.8118,-15.5519,394.64,5537
max,2,122.706,45.3065,396.48,1672
max,2,73.6235,22.704,396.48,798
max,2,93.2565,31.2053,402,1098
max,2,24.5412,-201.367,403.84,9784
max,2,17.1788,100.565,411.2,3074
max,2,-17.1788,86.4639,411.2,2817
max,2,-2.45413,35.456,414.88,1298
max,2,68.7153,53.8078,416.72,1893
max,2,44.1741,36.8052,416.72,1336
max,2,-9.81648,-232.403,435.12,10048
max,2,-100.619,-94.9652,479.28,8099
max,2,58.8988,-79.3117,490.32,7760
max,2,-71.1694,-109.066,492.16,8346
max,2,68.7153,-62.3091,494,7271
max,2,-7.36236,-26.9547,494,6136
max,2,-9.81648,-19.8025,495.84,5850
max,2,-63.8071,-39.7067,503.2,6369
max,2,46.6282,-24.0532,521.6,5896
max,2,196.329,-22.8395,527.12,5986
max,2,4.90822,-39.7067,528.96,6425
max,2,-39.2659,-39.7067,530.8,6388
max,2,171.788,2.86764,534.48,279
max,2,7.36235,-100.565,536.32,8186
max,2,39.2659,-39.7067,540,6452
max,2,147.247,11.3012,541.84,566
max,2,196.329,-5.83687,543.68,5404
max,2,206.146,-62.3768,549.2,7331
max,2,186.513,-164.393,551.04,9487
max,2,46.6282,-60.9599,563.92,7254
max,2,83.44,-28.3038,563.92,6211
max,2,250.32,-2.86764,567.6,5415
max,2,132.522,-116.354,569.44,8702
max,2,44.1741,189.897,571.28,4590
max,2,71.1694,-69.4613,574.96,7526
max,2,76.0776,-15.5519,580.48,5628
max,2,24.5412,-87.813,586,7970
max,2,171.788,19.8703,587.84,861
max,2,88.3483,-14.2027,587.84,5639
max,2,-53.9906,-5.70141,587.84,5226
max,2,98.1647,-19.8025,595.2,5938
max,2,-19.6329,-22.704,600.72,5841
max,2,53.9906,138.889,600.72,4064
max,2,49.0824,-14.2027,602.56,5607
max,2,-7.62939e-06,-87.813,606.24,7951
max,2,161.972,-65.3461,609.92,7322
max,2,49.0823,164.393,622.8,4339
max,2,34.3576,167.362,622.8,4336
max,2,206.146,141.858,624.64,4095
max,2,110.435,-49.5571,633.84,6782
max,2,9.81647,164.393,635.68,4331
max,2,78.5318,-82.2132,641.2,7777
max,2,58.8988,243.874,643.04,4998
max,2,-147.247,28.3716,644.88,907
max,2,103.073,172.894,646.72,4437
max,2,147.247,130.387,648.56,3987
max,2,-98.1647,-19.8025,650.4,5778
max,2,-171.788,2.86764,650.4,20
max,2,137.431,209.868,650.4,4762
max,2,-186.513,28.3716,652.24,899
max,2,-245.412,-62.3768,654.08,7092
max,2,120.252,-7.05056,674.32,5367
max,2,-56.4447,58.0584,674.32,1790
max,2,-78.5318,-5.70141,676.16,5205
max,2,-73.6235,121.818,711.12,3647
max,2,-61.3529,103.467,714.8,3233
max,2,-44.1741,104.816,714.8,3247
max,2,-49.0824,82.2132,716.64,2553
max,2,-100.619,-9.95207,724,5485
max,2,-39.2659,22.704,753.44,705
max,2,-41.72,24.0532,755.28,704
max,2,-68.7153,31.2053,760.8,967
max,2,-66.2612,35.456,760.8,1247
max,2,-26.9953,9.95207,760.8,424
max,2,-71.1694,26.9547,760.8,965
max,2,-68.7153,36.8052,760.8,1245
max,2,-73.6235,22.704,760.8,678
max,2,-24.5412,19.8025,760.8,717
max,2,-71.1694,32.5545,760.8,964
max,2,-29.4494,19.8025,762.64,714
max,2,-36.8118,24.0532,762.64,707
max,2,-44.1741,22.704,766.32,702
max,2,-49.0824,22.704,766.32,697
max,2,83.44,107.717,766.32,3352
max,2,85.8941,109.066,766.32,3354
max,2,-90.8024,35.456,771.84,1226
max,2,83.44,104.816,773.68,3351
max,2,-95.7106,32.5545,773.68,945
max,2,-24.5412,22.704,775.52,718
