psa,x,y,z,pad,mult,rank
max,-34.3576,39.7067,613.6,1273,1,0
max,-31.9035,35.456,611.76,1274,1,0
max,-31.9035,41.0558,613.6,1275,1,0
max,-29.4494,39.7067,613.6,1276,1,0
max,-29.4494,36.8052,611.76,1277,1,0
max,-26.9953,41.0558,613.6,1278,1,0
max,-26.9953,35.456,611.76,1279,1,0
max,-19.6329,39.7067,562.08,1284,1,0
max,-19.6329,36.8052,562.08,1285,1,0
max,-17.1788,41.0558,562.08,1286,1,0
max,-17.1788,35.456,562.08,1287,1,0
max,-14.7247,36.8052,562.08,1288,1,0
max,-14.7247,39.7067,562.08,1289,1,0
max,-12.2706,35.456,560.24,1290,1,0
max,-12.2706,41.0558,562.08,1291,1,0
max,-7.36236,41.0558,508.72,1294,1,0
max,-7.36236,35.456,508.72,1295,1,0
max,-4.90825,36.8052,506.88,1296,1,0
max,-4.90825,39.7067,508.72,1297,1,0
max,-2.45413,35.456,506.88,1298,1,0
max,-2.45413,41.0558,508.72,1299,1,0
max,2.45411,41.0558,453.52,1302,1,0
max,2.4541,35.456,453.52,1303,1,0
max,4.90822,36.8052,453.52,1304,1,0
max,4.90822,39.7067,453.52,1305,1,0
max,7.36234,35.456,453.52,1306,1,0
max,7.36237,41.0558,453.52,1307,1,0
max,9.81649,39.7067,387.28,1308,1,0
max,9.81649,36.8052,385.44,1309,1,0
max,12.2706,41.0558,387.28,1310,1,0
max,12.2706,35.456,385.44,1311,1,0
max,14.7247,36.8052,385.44,1312,1,0
max,14.7247,39.7067,385.44,1313,1,0
max,44.1741,36.8052,1020.24,1336,1,0
max,-171.788,48.3434,429.6,1457,1,0
max,-166.88,45.3742,429.6,1458,1,0
max,-161.972,48.3434,490.32,1459,1,0
max,-157.064,45.3742,490.32,1460,1,0
max,-152.155,48.3434,545.52,1461,1,0
max,-147.247,45.3742,545.52,1462,1,0
max,-142.339,48.3434,597.04,1463,1,0
max,-137.431,45.3742,597.04,1464,1,0
max,-132.522,48.3434,595.2,1465,1,0
max,-130.068,43.9573,597.04,1466,1,0
max,-122.706,48.208,639.36,1471,1,0
max,-122.706,45.3065,652.24,1472,1,0
max,-120.252,49.5571,641.2,1473,1,0
max,-120.252,43.9573,641.2,1474,1,0
max,-117.798,45.3065,641.2,1475,1,0
max,-117.798,48.208,641.2,1476,1,0
max,-115.344,43.9573,641.2,1477,1,0
max,-115.344,49.5571,641.2,1478,1,0
max,-112.889,48.208,641.2,1479,1,0
max,-112.889,45.3065,641.2,1480,1,0
max,-110.435,49.5571,650.4,1481,1,0
max,-110.435,43.9573,643.04,1482,1,0
max,-107.981,45.3065,643.04,1483,1,0
max,-107.981,48.208,643.04,1484,1,0
max,-73.6235,48.208,654.08,1511,1,0
max,-71.1694,49.5571,655.92,1513,1,0
max,-68.7153,48.208,654.08,1516,1,0
max,-63.8071,45.3065,654.08,1520,1,0
max,-61.353,49.5571,654.08,1521,1,0
max,-61.3529,43.9573,654.08,1522,1,0
max,-58.8988,45.3065,654.08,1523,1,0
max,-58.8988,48.208,654.08,1524,1,0
max,-56.4447,43.9573,654.08,1525,1,0
max,-56.4447,49.5571,654.08,1526,1,0
max,-53.9906,48.208,654.08,1527,1,0
max,-53.9906,45.3065,654.08,1528,1,0
max,-51.5365,49.5571,654.08,1529,1,0
max,-51.5365,43.9573,654.08,1530,1,0
max,-49.0823,48.208,655.92,1532,1,0
max,-46.6282,43.9573,643.04,1533,1,0
max,-31.9035,49.5571,611.76,1545,1,0
max,-31.9035,43.9573,613.6,1546,1,0
max,-29.4494,45.3065,611.76,1547,1,0
max,-29.4494,48.208,613.6,1548,1,0
max,-26.9953,43.9573,611.76,1549,1,0
max,-26.9953,49.5571,613.6,1550,1,0
max,-24.5412,48.208,613.6,1551,1,0
max,-24.5412,45.3065,613.6,1552,1,0
max,-17.1788,43.9573,562.08,1557,1,0
max,-17.1788,49.5571,567.6,1558,1,0
max,-14.7247,48.208,563.92,1559,1,0
max,-14.7247,45.3065,562.08,1560,1,0
max,-12.2706,49.5571,563.92,1561,1,0
max,-12.2706,43.9573,562.08,1562,1,0
max,-9.81648,45.3065,562.08,1563,1,0
max,-9.81648,48.208,563.92,1564,1,0
max,-4.90825,48.208,510.56,1567,1,0
max,-4.90825,45.3065,508.72,1568,1,0
max,-2.45413,49.5571,508.72,1569,1,0
max,-2.45413,43.9573,508.72,1570,1,0
max,-1.14441e-05,45.3065,508.72,1571,1,0
max,-1.14441e-05,48.208,510.56,1572,1,0
max,4.90822,48.208,455.36,1575,1,0
max,4.90822,45.3065,455.36,1576,1,0
