pad,x,y
549,125.16,9.95207
550,127.614,11.3012
551,127.614,14.2027
552,130.068,9.95207
553,130.068,15.5519
554,132.522,14.2027
555,132.522,11.3012
556,134.976,15.5519
557,134.976,9.95207
558,137.431,11.3012
559,137.431,14.2027
560,139.885,9.95207
561,139.885,15.5519
562,142.339,14.2027
563,142.339,11.3012
564,144.793,15.5519
565,144.793,9.95207
566,147.247,11.3012
567,147.247,14.2027
569,152.155,14.3382
571,161.972,14.3382
573,171.788,14.3382
574,176.697,11.369
575,181.605,14.3382
577,191.421,14.3382
578,196.329,11.369
579,201.238,14.3382
587,240.504,14.3382
605,-215.962,22.8395
607,-206.146,22.8395
612,-181.605,19.8703
614,-171.788,19.8703
615,-166.88,22.8395
616,-161.972,19.8703
617,-157.064,22.8395
618,-152.155,19.8703
619,-147.247,22.8395
620,-144.793,18.4534
621,-142.339,19.8025
622,-142.339,22.704
623,-139.885,18.4534
624,-139.885,24.0532
625,-137.431,22.704
626,-137.431,19.8025
627,-134.976,24.0532
628,-134.976,18.4534
629,-132.522,19.8025
630,-132.522,22.704
631,-130.068,18.4534
632,-130.068,24.0532
633,-127.614,22.704
634,-127.614,19.8025
635,-125.16,24.0532
636,-125.16,18.4534
637,-122.706,19.8025
638,-122.706,22.704
639,-120.252,18.4534
640,-120.252,24.0532
641,-117.798,22.704
642,-117.798,19.8025
643,-115.344,24.0532
644,-115.344,18.4534
645,-112.889,19.8025
646,-112.889,22.704
647,-110.435,18.4534
648,-110.435,24.0532
649,-107.981,22.704
650,-107.981,19.8025
651,-105.527,24.0532
653,-103.073,19.8025
654,-103.073,22.704
655,-100.619,18.4534
656,-100.619,24.0532
657,-98.1647,22.704
658,-98.1647,19.8025
659,-95.7106,24.0532
660,-95.7106,18.4534
661,-93.2565,19.8025
662,-93.2565,22.704
663,-90.8024,18.4534
664,-90.8024,24.0532
665,-88.3482,22.704
666,-88.3482,19.8025
667,-85.8941,24.0532
668,-85.8941,18.4534
669,-83.44,19.8025
670,-83.44,22.704
671,-80.9859,18.4534
672,-80.9859,24.0532
673,-78.5318,22.704
674,-78.5318,19.8025
675,-76.0777,24.0532
676,-76.0777,18.4534
677,-73.6235,19.8025
678,-73.6235,22.704
679,-71.1694,18.4534
680,-71.1694,24.0532
681,-68.7153,22.704
682,-68.7153,19.8025
683,-66.2612,24.0532
684,-66.2612,18.4534
685,-63.8071,19.8025
686,-63.8071,22.704
687,-61.353,18.4534
688,-61.353,24.0532
689,-58.8988,22.704
690,-58.8988,19.8025
691,-56.4447,24.0532
692,-56.4447,18.4534
693,-53.9906,19.8025
694,-53.9906,22.704
695,-51.5365,18.4534
696,-51.5365,24.0532
697,-49.0824,22.704
698,-49.0824,19.8025
699,-46.6282,24.0532
700,-46.6282,18.4534
701,-44.1741,19.8025
702,-44.1741,22.704
703,-41.72,18.4534
704,-41.72,24.0532
705,-39.2659,22.704
706,-39.2659,19.8025
707,-36.8118,24.0532
708,-36.8118,18.4534
709,-34.3577,19.8025
710,-34.3577,22.704
711,-31.9035,18.4534
712,-31.9035,24.0532
713,-29.4494,22.704
714,-29.4494,19.8025
715,-26.9953,24.0532
716,-26.9953,18.4534
717,-24.5412,19.8025
718,-24.5412,22.704
719,-22.0871,18.4534
720,-22.0871,24.0532
721,-19.6329,22.704
722,-19.6329,19.8025
723,-17.1788,24.0532
724,-17.1788,18.4534
725,-14.7247,19.8025
726,-14.7247,22.704
727,-12.2706,18.4534
728,-12.2706,24.0532
729,-9.81648,22.704
730,-9.81648,19.8025
731,-7.36236,24.0532
732,-7.36237,18.4534
733,-4.90825,19.8025
